fruit_label,fruit_name,fruit_subtype,mass,width,height,color_score
1,apple,granny_smith,176,7.4,7.2,0.6
1,apple,cripps_pink,170,7.6,7.9,0.88
3,orange,turkey_navel,160,7.1,7.6,0.76
1,apple,cripps_pink,140,7.3,7.1,0.87
4,lemon,,118,5.9,8,0.72
4,lemon,spanish_belsan,,7.2,9.2,0.72
1,apple,braeburn,172,7.1,7.6,0.92
1,apple,braeburn,166,,,0.93
2,mandarin,mandarin,80,5.8,4.3,0.77
4,lemon,,118,6.1,8.1,
1,apple,golden_delicious,164,7.3,7.7,0.7
1,,braeburn,178,7.1,7.8,0.92
4,lemon,,152,6.5,8.5,0.72
4,lemon,spanish_belsan,194,7.2,10.3,0.7
3,orange,turkey_navel,154,,7.3,0.79
3,orange,,140,6.7,7.1,0.72
3,orange,selected_seconds,164,7.2,7,0.8
3,,turkey_navel,,7.6,7.8,0.75
3,orange,selected_seconds,210,7.8,8,0.82
3,orange,turkey_navel,154,7.2,7.2,0.82
